handle,category_slug
"side-panel-for-hero-passion-plus-yellow-colour","side-panel"
"side-panel-for-hero-passion-plus-silver-blue-colour","side-panel"
"side-panel-for-hero-passion-plus-t-blue-colour","side-panel"
"side-panel-for-hero-passion-plus-red-colour","side-panel"
"side-panel-for-hero-passion-plus-d-silver-red-colour","side-panel"
"side-panel-for-hero-passion-plus-black-yellow-colour","side-panel"
"side-panel-for-hero-passion-plus-black-orange-colour","side-panel"
"side-panel-for-hero-passion-plus-black-blue-colour","side-panel"
"side-panel-for-hero-passion-old-model-turqoise-blue-colour","side-panel"
"side-panel-for-hero-passion-old-model-silver-colour","side-panel"
"side-panel-for-hero-passion-old-model-red-colour","side-panel"
"side-panel-for-hero-passion-old-model-m-blue-colour","side-panel"
"side-panel-for-hero-passion-old-model-black-golden-colour","side-panel"
"side-panel-for-hero-super-splendor-type-2-type-7-sticker-red-colour","side-panel"
"side-panel-for-hero-super-splendor-type-2-type-7-sticker-black-silver-colour","side-panel"
"side-panel-for-hero-super-splendor-type-2-type-7-sticker-black-red-colour","side-panel"
"side-panel-for-hero-super-splendor-type-2-type-7-sticker-black-blue-colour","side-panel"
"side-panel-for-hero-super-splendor-type-2-type-6-sticker-black-silver-colour","side-panel"
"side-panel-for-hero-super-splendor-type-2-type-4-sticker-red-colour","side-panel"
"side-panel-for-hero-super-splendor-type-2-type-4-sticker-blue-colour","side-panel"
"side-panel-for-hero-super-splendor-type-2-type-4-sticker-black-silver-colour","side-panel"
"side-panel-for-hero-super-splendor-type-2-type-4-sticker-black-blue-colour","side-panel"
"side-panel-for-hero-super-splendor-type-2-type-4-sticker-black-red-colour","side-panel"
"side-panel-for-hero-super-splendor-type1-wine-red-colour","side-panel"
"side-panel-for-hero-super-splendor-type1-silver-colour","side-panel"
"side-panel-for-hero-super-splendor-type1-red-colour","side-panel"
"side-panel-for-hero-super-splendor-type1-l-blue-colour","side-panel"
"side-panel-for-hero-super-splendor-type1-d-blue-colour","side-panel"
"side-panel-for-hero-super-splendor-type1-black-red-colour","side-panel"
"side-panel-for-hero-super-splendor-type1-black-blue-colour","side-panel"
"side-panel-for-hero-splendor-nxg-black-red-colour","side-panel"
"side-panel-for-hero-splendor-nxg-black-blue-colour","side-panel"
"side-panel-for-hero-splendor-ismart-type1-silver-grey-colour","side-panel"
"side-panel-for-hero-splendor-ismart-type1-silver-green-colour","side-panel"
"side-panel-for-hero-splendor-ismart-type1-black-red-colour","side-panel"
"side-panel-for-hero-splendor-ismart-type1-silver-blue-colour","side-panel"
"side-panel-for-hero-splendor-ismart-type1-silver-red-colour","side-panel"
"side-panel-for-hero-splendor-ismart-type1-silver-black-colour","side-panel"
"side-panel-for-hero-splendor-pro-red-colour","side-panel"
"side-panel-for-hero-splendor-pro-heavy-grey-green-colour","side-panel"
"side-panel-for-hero-splendor-pro-eco-green-colour","side-panel"
"side-panel-for-hero-splendor-pro-black-silver-colour","side-panel"
"side-panel-for-hero-splendor-pro-black-red-colour","side-panel"
"side-panel-for-hero-splendor-pro-black-blue-colour","side-panel"
"side-panel-for-hero-splendor-alloy-wheel-silver-blue-colour","side-panel"
"side-panel-for-hero-splendor-alloy-wheel-red-orange-colour","side-panel"
"side-panel-for-hero-splendor-alloy-wheel-black-purple-colour","side-panel"
"side-panel-for-hero-splendor-alloy-wheel-black-grey-colour","side-panel"
"side-panel-for-hero-splendor-alloy-wheel-black-blue-colour","side-panel"
"side-panel-for-hero-splendor-plus-black-orange-colour","side-panel"
"side-panel-for-hero-splendor-plus-black-red-colour","side-panel"
"side-panel-for-hero-splendor-plus-black-yellow-colour","side-panel"
"side-panel-for-hero-splendor-plus-turqoise-blue-colour","side-panel"
"side-panel-for-hero-splendor-plus-red-colour","side-panel"
"side-panel-for-hero-splendor-plus-black-blue-colour","side-panel"
"side-panel-for-hero-splendor-new-model-y2k-black-purple-colour","side-panel"
"side-panel-for-hero-splendor-new-model-silver-colour","side-panel"
"side-panel-for-hero-splendor-new-model-red-colour","side-panel"
"side-panel-for-hero-splendor-new-model-m-blue-colour","side-panel"
"side-panel-for-hero-splendor-new-model-black-colour","side-panel"
"side-panel-for-hero-splendor-old-model-red-colour","side-panel"
"side-panel-for-hero-splendor-old-model-black-colour","side-panel"
"rear-shock-absorber-for-tvs-phoenix-set-of-2-red-black-colour","shock-absorber"
"eauto-fuel-pump-assembly-for-hero-xtreme-200-bs6-xpulse-200-bs6-2020-present","fuel-pump-assembly"
"eauto-fuel-pump-assembly-for-hero-apache-rtr-200-4v-2018-present","fuel-pump-assembly"
"eauto-fuel-pump-motor-for-tvs-apache-rtr-200-2v-2018-present","fuel-pump-assembly"
"ucal-bike-carburetor-for-tvs-apache-rtr-160-bs4","carburetor"
"rear-mono-shock-absorber-for-hero-impulse-150","shock-absorber"
"eauto-digital-speedometer-for-bajaj-pulsar-150-ug3-ug4-180-ug3-ug4-220-ug3-ug4","speedometer"
"rear-shock-absorber-for-yamaha-fz-fz-250-fazer-250-fz-fz-s-fz-fi-fz-v2-fz-16-fz-v3-fazer-black-colour","shock-absorber"
"spark-minda-ignition-lock-set-for-hero-hf-deluxe-bs4","ignition-lock-set"
"rear-disc-brake-master-cylinder-assembly-for-honda-hornet-1","brakes"
"mukut-rear-disc-brake-master-cylinder-assembly-with-pipe-royal-enfield-bullet-all-model","brakes"
"rear-disc-brake-master-cylinder-assembly-for-honda-hornet","brakes"
"rear-disc-brake-master-cylinder-assembly-for-yamaha-r15-v1","brakes"
"rear-disc-brake-master-cylinder-assembly-for-honda-cbr-150","brakes"
"rear-disc-brake-master-cylinder-assembly-for-honda-cbr-151","brakes"
"rear-disc-brake-master-cylinder-assembly-for-suzuki-gixxer","brakes"
"rear-disc-brake-master-cylinder-assembly-for-tvs-apache-rtr-160-with-pipe","brakes"
"rear-disc-brake-master-cylinder-assembly-for-bajaj-pulsar-200-ns-with-pipe","brakes"
"rear-shock-absorber-for-hero-cbz-xtreme-old-model-without-gas-achiever-150-cc","shock-absorber"
"rear-mono-shock-absorber-for-honda-unicorn-150-cb-unicorn-dazzler","shock-absorber"
"rear-mono-shock-absorber-for-bajaj-pulsar-200-ns-as-rs-160-ns-as-150-ns-as-with-nitrox-gas","shock-absorber"
"rear-shock-absorber-for-hero-hunk-cbz-xtreme-type-3-karizma-zmr-nitrox-gas-filled","shock-absorber"
"rear-mono-shock-absorber-for-bajaj-discover-125-st-150f-with-gas","shock-absorber"
"front-fork-assembly-for-royal-enfield-hunter-350-retro-hunter-350-metro-set-of-2","fork-assembly"
"front-fork-assembly-for-honda-hornet-160-bs6-2020-cont-unicorn-160-bs6-2020-cont-set-of-2","fork-assembly"
"graphics-sticker-set-for-hero-honda-hunk-type-2-red-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-hunk-type-2-black-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-ignitor-black-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-ignitor-red-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-sleek-black-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-sleek-red-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-ambition-yellow-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-ambition-silver-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-ambition-mehroon-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-ambition-red-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-ambition-blue-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-ambition-black-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-duet-matte-grey-vehicle-red-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-duet-pearl-white-vehicle-blue-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-duet-red-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-duet-grey-vehicle-grey-silver-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-duet-black-vehicle-black-red-sticker","sticker-set"
"graphics-sticker-set-for-hero-maestro-edge-type-4-blue-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-maestro-edge-type-4-red-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-maestro-edge-type-4-white-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-maestro-edge-type-4-black-blue-sticker","sticker-set"
"graphics-sticker-set-for-hero-maestro-edge-type-2-black-red-sticker","sticker-set"
"graphics-sticker-set-for-hero-maestro-edge-type-2-black-blue-sticker","sticker-set"
"graphics-sticker-set-for-hero-maestro-type-1-black-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-maestro-type-1-silver-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-pleasure-type-7-red-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-pleasure-type-6-white-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-pleasure-type-6-grey-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-pleasure-green-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-pleasure-blue-sticker","sticker-set"
"graphics-sticker-set-for-yamaha-r15s-v3-abs-blue-vehicle-black-grey-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-pleasure-wine-red-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-pleasure-red-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-pleasure-set-of-3-black-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-pleasure-set-of-3-red-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-pleasure-set-of-3-white-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-pleasure-grey-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-pleasure-purple-shield-sticker","sticker-set"
"graphics-sticker-set-for-yamaha-r15s-v3-abs-blue-vehicle-blue-grey-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-pleasure-red-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-pleasure-white-shield-sticker","sticker-set"
"graphics-sticker-set-for-hero-karizma-zmr-fi-type-2-red-vehicle","sticker-set"
"graphics-sticker-set-for-hero-karizma-zmr-fi-type-2-black-vehicle","sticker-set"
"graphics-sticker-set-for-hero-karizma-zmr-fi-type-1-white-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-karizma-r-sports-type-2-yellow-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-karizma-r-sports-type-2-white-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-karizma-r-sports-type-2-grey-vehicle-red-sticker","sticker-set"
"graphics-sticker-set-for-hero-honda-karizma-r-sports-type-2-black-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-karizma-r-type-1-yellow-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-karizma-r-type-1-red-vehicle","sticker-set"
"graphics-sticker-set-for-hero-honda-karizma-r-type-1-black-vehicle","sticker-set"
"graphics-sticker-set-for-hero-glamour-i3s-bs6-type-10-grey-vehicle-green-sticker","sticker-set"
"graphics-sticker-set-for-hero-glamour-i3s-bs6-type-10-red-vehicle-red-sticker","sticker-set"
"graphics-sticker-set-for-hero-glamour-i3s-bs6-type-10-black-vehicle-grey-sticker","sticker-set"
